Nom,Dosage,Forme,Pr?sentation,Prix public,Prix hospitalier,DCI,Source
ESORAL,40 mg,Gélules gastrorésistantes,B/8,"15,475","4,964",ESOMEPRAZOLE,ballouchi.github.io/medoc
RGEO,40 mg,Gélules gastrorésistantes,B/14,"11,370","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESOCALM,40 mg,Gélules gastrorésistantes,B/14,"12,485","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
NEXUS,40 mg,Gélules gastrorésistantes,B/14,"16,820","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
ENOMERAL 40,40 mg,Gélules gastrorésistantes,FL/14,"18,480","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
STELAR,40 mg,Gélules gastrorésistantes,B/14,"19,205","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESOCARE,40 mg,Gélules gastrorésistantes,FL/14,"22,000","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
IPPSIUM 40,40 mg,Gélules gastrorésistantes,FL/14,"26,355","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
INEXIUM,40 mg,Comprimés gastro-résistants,B/14,"38,910","8,687",ESOMEPRAZOLE,ballouchi.github.io/medoc
ENOMERAL 40,40 mg,Gélules gastrorésistantes,B/16,"12,960","9,928",ESOMEPRAZOLE,ballouchi.github.io/medoc
ACTIPP,40 mg,Gélules gastrorésistantes,B/16,"21,920","9,928",ESOMEPRAZOLE,ballouchi.github.io/medoc
RUGDAL,40 mg,Gélules gastrorésistantes,FL/16,"21,920","9,928",ESOMEPRAZOLE,ballouchi.github.io/medoc
MESOPRAL,40 mg,Gélules gastrorésistantes,FL/16,"25,630","9,928",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESORAL,40 mg,Gélules gastrorésistantes,B/16,"30,165","9,928",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESOMEPRAZOLE ZENTIVA,40 mg,Gélules,B/28,"30,170","0,000",ESOMEPRAZOLE,ballouchi.github.io/medoc
NEXIUM 40,40 mg,Comprimés gastro-résistants,B/28,"21,145","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
RGEO,40 mg,Gélules gastrorésistantes,B/28,"22,500","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
NEXUS,40 mg,Gélules gastrorésistantes,B/28,"23,090","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESOCALM,40 mg,Gélules gastrorésistantes,B/28,"24,725","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
ENOMERAL 40,40 mg,Gélules gastrorésistantes,FL/28,"25,610","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
ACTIPP,40 mg,Gélules gastrorésistantes,B/28,"35,995","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
STELAR,40 mg,Gélules gastrorésistantes,B/28,"37,180","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESOCARE,40 mg,Gélules gastrorésistantes,FL/28,"40,940","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
MESOPRAL,40 mg,Gélules gastrorésistantes,FL/28,"41,355","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
IPPSIUM 40,40 mg,Gélules gastrorésistantes,FL/28,"48,590","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESORAL,40 mg,Gélules gastrorésistantes,B/28,"48,710","17,374",ESOMEPRAZOLE,ballouchi.github.io/medoc
ENOMERAL 40,40 mg,Gélules gastrorésistantes,B/30,"24,090","18,615",ESOMEPRAZOLE,ballouchi.github.io/medoc
ESOCARE,40 mg,Gélules gastrorésistantes,FL/30,"40,940","18,615",ESOMEPRAZOLE,ballouchi.github.io/medoc
RUGDAL,40 mg,Gélules gastrorésistantes,FL/30,"43,780","18,615",ESOMEPRAZOLE,ballouchi.github.io/medoc
NEXUS,40 mg,Pdre p.prep.injectable,B/1 FL,"15,530","0,000",ESOMEPRAZOLE,ballouchi.github.io/medoc
STELAR,10 mg,Granulés pour suspension buvable,B/14 Sachets,"10,915","9,163",ESOMEPRAZOLE,ballouchi.github.io/medoc
STELAR,10 mg,Granulés pour suspension buvable,B/28,"21,560","18,326",ESOMEPRAZOLE,ballouchi.github.io/medoc
FAMODAR ABR,10 mg,Comprimés pelliculés,B/10,"2,445","2,074",FAMOTIDINE,ballouchi.github.io/medoc
ULDINE 10,10 mg,Comprimés,B/20,"5,160","4,148",FAMOTIDINE,ballouchi.github.io/medoc
AH-DEUX,20 mg,Comprimés pelliculés,B/30,"13,230","11,246",FAMOTIDINE,ballouchi.github.io/medoc
ULDINE 20,20 mg,Comprimés pelliculés,B/30,"13,920","11,246",FAMOTIDINE,ballouchi.github.io/medoc
FAMODINE 20,20 mg,Comprimés pelliculés,B/30,"17,235","11,246",FAMOTIDINE,ballouchi.github.io/medoc
FAMODAR,40 mg,Comprimés pelliculés sécables,B/10,"5,430","4,471",FAMOTIDINE,ballouchi.github.io/medoc
GASTROSIDIN,40 mg,Comprimés pelliculés,B/10,"5,945","4,471",FAMOTIDINE,ballouchi.github.io/medoc
GASTROZEN,40 mg,Comprimés pelliculés,B/10,"5,945","4,471",FAMOTIDINE,ballouchi.github.io/medoc
FAMO 40,40 mg,Comprimés pelliculés,B/10,"8,065","4,471",FAMOTIDINE,ballouchi.github.io/medoc
FAMODINE 40,40 mg,Comprimés pelliculés sécables,B/10,"8,470","4,471",FAMOTIDINE,ballouchi.github.io/medoc
FAMODAR,40 mg,Comprimés pelliculés sécables,B/30,"15,785","13,413",FAMOTIDINE,ballouchi.github.io/medoc
GASTROSIDIN,40 mg,Comprimés pelliculés,B/30,"15,925","13,413",FAMOTIDINE,ballouchi.github.io/medoc
FAMO 40,40 mg,Comprimés pelliculés,B/30,"19,390","13,413",FAMOTIDINE,ballouchi.github.io/medoc
FAMODINE 40,40 mg,Comprimés pelliculés sécables,B/30,"20,005","13,413",FAMOTIDINE,ballouchi.github.io/medoc
IPPZOR,15 mg,Gélules gastrorésistantes,FL/7,"5,550","3,749",LANSOPRAZOLE,ballouchi.github.io/medoc
LANSOPRAL,15 mg,Gélules,FL/7,"6,730","3,749",LANSOPRAZOLE,ballouchi.github.io/medoc
LANZOR,15 mg,Gélules,FL/7,"10,785","3,749",LANSOPRAZOLE,ballouchi.github.io/medoc
INIPRAZOL,15 mg,Gélules,FL/8,"7,645","4,284",LANSOPRAZOLE,ballouchi.github.io/medoc
INIPRAZOL,15 mg,Gélules,FL/14,"10,205","7,497",LANSOPRAZOLE,ballouchi.github.io/medoc
IPPZOR,15 mg,Gélules,FL/15,"10,515","8,033",LANSOPRAZOLE,ballouchi.github.io/medoc
LANSOPRAL,15 mg,Gélules,FL/15,"12,390","8,033",LANSOPRAZOLE,ballouchi.github.io/medoc
LANZOR,15 mg,Gélules,FL/15,"20,020","8,033",LANSOPRAZOLE,ballouchi.github.io/medoc
PRAZOR,15 mg,Gélules,B/16,"10,940","8,568",LANSOPRAZOLE,ballouchi.github.io/medoc
IPPZOR,15 mg,Gélules gastrorésistantes,FL/28,"17,650","14,994",LANSOPRAZOLE,ballouchi.github.io/medoc
LANSOPRAL,15 mg,Gélules,FL/30,"19,670","16,065",LANSOPRAZOLE,ballouchi.github.io/medoc
IPPZOR,30 mg,Gélules,FL/14,"17,650","10,317",LANSOPRAZOLE,ballouchi.github.io/medoc
INIPRAZOL,30 mg,Gélules,FL/14,"19,345","10,317",LANSOPRAZOLE,ballouchi.github.io/medoc
LANSOPRAL,30 mg,Gélules,FL/14,"21,915","10,317",LANSOPRAZOLE,ballouchi.github.io/medoc
LANZOR,30 mg,Gélules,FL/14,"36,200","10,317",LANSOPRAZOLE,ballouchi.github.io/medoc
PRAZOR,30 mg,Gélules,B/16,"18,810","11,791",LANSOPRAZOLE,ballouchi.github.io/medoc
IPPZOR,30 mg,Gélules,FL/28,"32,220","20,635",LANSOPRAZOLE,ballouchi.github.io/medoc
LANSOPRAL,30 mg,Gélules,FL/28,"36,420","20,635",LANSOPRAZOLE,ballouchi.github.io/medoc
INIPRAZOL,30 mg,Gélules,B/30,"26,020","22,109",LANSOPRAZOLE,ballouchi.github.io/medoc
LANZOR,30 mg,Gélules gastrorésistantes,FL/30,"50,620","22,109",LANSOPRAZOLE,ballouchi.github.io/medoc
TRIPYLORI,125 mg/125 mg/140 mg,Gélules,FL/120,"153,475","0,000",METRONIDAZOLE+TETRACYCLINE+BISMUTH,ballouchi.github.io/medoc
PYLERA,125 mg/125 mg/140 mg,Gélules,FL/120,"218,910","0,000",METRONIDAZOLE+TETRACYCLINE+BISMUTH,ballouchi.github.io/medoc
OMEZOL,10 mg,Gélules,B/7,"4,600","3,749",OMEPRAZOLE,ballouchi.github.io/medoc
GASTRAL,10 mg,Gélules,FL/7,"6,385","3,749",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,10 mg,Gélules,B/8,"6,220","4,284",OMEPRAZOLE,ballouchi.github.io/medoc
OMEZOL,10 mg,Gélules,B/14,"8,955","7,497",OMEPRAZOLE,ballouchi.github.io/medoc
OPRAALOX,10 mg,Gélules,FL/14,"8,955","7,497",OMEPRAZOLE,ballouchi.github.io/medoc
MEPRAZOL,10 mg,Gélules,FL/14,"9,920","7,497",OMEPRAZOLE,ballouchi.github.io/medoc
OPRAZOLE,10 mg,Comprimés pelliculés,B/14,"10,690","7,497",OMEPRAZOLE,ballouchi.github.io/medoc
GASTRAL,10 mg,Gélules,FL/14,"12,205","7,497",OMEPRAZOLE,ballouchi.github.io/medoc
BELIFAX,10 mg,Gélules,FL/14,"12,670","7,497",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,10 mg,Gélules,B/16,"10,865","8,568",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,10 mg,Gélules,B/28,"17,650","14,994",OMEPRAZOLE,ballouchi.github.io/medoc
BELIFAX,10 mg,Gélules,FL/28,"20,395","14,994",OMEPRAZOLE,ballouchi.github.io/medoc
MEPRAZOL,20 mg,Gélules,FL/7,"8,665","5,349",OMEPRAZOLE,ballouchi.github.io/medoc
OMEZOL,20 mg,Gélules,B/7,"8,955","5,349",OMEPRAZOLE,ballouchi.github.io/medoc
BELIFAX,20 mg,Gélules,FL/7,"10,310","5,349",OMEPRAZOLE,ballouchi.github.io/medoc
OPRAZOLE,20 mg,Comprimés pelliculés,B/7,"10,710","5,349",OMEPRAZOLE,ballouchi.github.io/medoc
GASTRAL,20 mg,Gélules,FL/8,"11,145","6,113",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,20 mg,Gélules,B/8,"11,295","6,113",OMEPRAZOLE,ballouchi.github.io/medoc
OMEZOL,20 mg,Gélules,B/14,"13,295","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
MEPRAZOL,20 mg,Gélules,FL/14,"14,520","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
OPRAZOLE,20 mg,Comprimés pelliculés,B/14,"16,675","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
MAALOX CONTROLE,20 mg,Gélules,FL/14,"17,855","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
OMEPRAZOLE WINTHROP,20 mg,Gélules,FL/14,"17,855","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
GASTRAL,20 mg,Gélules,FL/14,"22,960","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
BELIFAX,20 mg,Gélules,FL/14,"25,160","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
MOPRAL,20 mg,Gélules,FL/14,"40,000","10,698",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,20 mg,Gélules,B/16,"20,755","12,226",OMEPRAZOLE,ballouchi.github.io/medoc
OMEZOL,20 mg,Gélules,B/28,"25,185","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
MEPRAZOL,20 mg,Gélules,FL/28,"27,110","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
OPRAZOLE,20 mg,Comprimés pelliculés,B/28,"28,780","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
MAALOX CONTROLE,20 mg,Gélules,FL/28,"30,810","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
OMEPRAZOLE WINTHROP,20 mg,Gélules,FL/28,"30,810","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
BELIFAX,20 mg,Gélules,FL/28,"32,555","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,20 mg,Gélules,B/28,"35,520","21,396",OMEPRAZOLE,ballouchi.github.io/medoc
GASTRAL,20 mg,Gélules,FL/30,"34,560","22,925",OMEPRAZOLE,ballouchi.github.io/medoc
IPPROTON,40 mg,Pdre p.prep.injectable,B/1 FL + Solvant,"16,880","14,348",OMEPRAZOLE,ballouchi.github.io/medoc
RISEK,40 mg,Pdre p.prep.injectable,B/1 FL + Solvant,"23,960","14,348",OMEPRAZOLE,ballouchi.github.io/medoc
PENTOP,20 mg,Gélules gastrorésistantes,B/8,"4,760","3,924",PANTOPRAZOLE,ballouchi.github.io/medoc
PANTOPRAL,20 mg,Comprimés pelliculés gastro-résistants,FL/10,"7,590","4,905",PANTOPRAZOLE,ballouchi.github.io/medoc
RAZON,20 mg,Comprimés gastro-résistants,B/10,"8,610","4,905",PANTOPRAZOLE,ballouchi.github.io/medoc
PENTOP,20 mg,Gélules gastrorésistantes,B/16,"10,535","7,847",PANTOPRAZOLE,ballouchi.github.io/medoc
PANTOPRAL,20 mg,Comprimés pelliculés gastro-résistants,FL/20,"11,545","9,809",PANTOPRAZOLE,ballouchi.github.io/medoc
RAZON,20 mg,Comprimés gastro-résistants,B/20,"14,885","9,809",PANTOPRAZOLE,ballouchi.github.io/medoc
PANTOPRAL,20 mg,Comprimés pelliculés gastro-résistants,FL/30,"17,340","14,714",PANTOPRAZOLE,ballouchi.github.io/medoc
RAZON,20 mg,Comprimés gastro-résistants,B/30,"20,825","14,714",PANTOPRAZOLE,ballouchi.github.io/medoc
PANTOPRAL,40 mg,Comprimés gastro-résistants,FL/7,"9,060","5,950",PANTOPRAZOLE,ballouchi.github.io/medoc
RAZON,40 mg,Comprimés gastro-résistants,B/7,"11,255","5,950",PANTOPRAZOLE,ballouchi.github.io/medoc
PENTOP,40 mg,Gélules gastrorésistantes,B/8,"8,170","6,800",PANTOPRAZOLE,ballouchi.github.io/medoc
PANTOPRAL,40 mg,Comprimés gastro-résistants,FL/14,"14,920","11,900",PANTOPRAZOLE,ballouchi.github.io/medoc
RAZON,40 mg,Comprimés gastro-résistants,B/14,"20,280","11,900",PANTOPRAZOLE,ballouchi.github.io/medoc
PENTOP,40 mg,Gélules gastrorésistantes,B/16,"17,880","13,600",PANTOPRAZOLE,ballouchi.github.io/medoc
PANTOPRAL,40 mg,Comprimés gastro-résistants,FL/28,"28,015","23,800",PANTOPRAZOLE,ballouchi.github.io/medoc
RAZON,40 mg,Comprimés gastro-résistants,B/28,"33,350","23,800",PANTOPRAZOLE,ballouchi.github.io/medoc
TANIDINA,150 mg,Comprimés,B/20,"11,040","9,384",RANITIDINE,ballouchi.github.io/medoc
ZANTAC,150 mg,Comprimés,B/20,"17,535","9,384",RANITIDINE,ballouchi.github.io/medoc
ZANTAC,300 mg,Comprimés,B/10,"16,845","14,314",RANITIDINE,ballouchi.github.io/medoc
RANITIDINE,,Sirop,FL/150 ml,"5,850","0,000",RANITIDINE,ballouchi.github.io/medoc
ULCEFIX,1 g,Comprimés,B/30,"8,900","3,552",SUCRALFATE,ballouchi.github.io/medoc
ULCEFIX,1 g,Poudre  pour solution orale,B/30,"9,345","3,732",SUCRALFATE,ballouchi.github.io/medoc
ULCAR,1 g,Suspension buvable,B/30 Sachets,"10,905","3,732",SUCRALFATE,ballouchi.github.io/medoc
METEOSPASMYL,60 mg,Capsules molles,B/20,"5,131","2,048",ALVERINE CITRATE+SIMETICONE,ballouchi.github.io/medoc
LIBRAX,,Comprimés drageifiés,B/30,"5,956","2,376",CLIDINIUM + CHLORDIAZEPOXIDE,ballouchi.github.io/medoc
OROPERIDYS,10 mg,Comprimés orodispersibles,B/15,"3,955","0,774",DOMPERIDONE,ballouchi.github.io/medoc
DOPIDIUM,10 mg,Comprimés pelliculés,B/20,"3,070","1,032",DOMPERIDONE,ballouchi.github.io/medoc
OROPERIDYS,10 mg,Comprimés orodispersibles,B/21,"7,205","1,084",DOMPERIDONE,ballouchi.github.io/medoc
DOPIDIUM,10 mg,Comprimés pelliculés,B/40,"5,160","2,064",DOMPERIDONE,ballouchi.github.io/medoc
DOMPER,10 mg,Comprimés pelliculés,B/40,"6,235","2,064",DOMPERIDONE,ballouchi.github.io/medoc
PIRADIUM,10 mg,Comprimés pelliculés,B/40,"6,335","2,064",DOMPERIDONE,ballouchi.github.io/medoc
DOMPYREX,10 mg,Comprimés pelliculés,B/40,"6,395","2,064",DOMPERIDONE,ballouchi.github.io/medoc
DOPIDIUM,10 mg,Comprimés pelliculés,B/40,"8,340","2,064",DOMPERIDONE,ballouchi.github.io/medoc
PERILIUM,10 mg,Comprimés pelliculés,B/40,"9,960","2,064",DOMPERIDONE,ballouchi.github.io/medoc
DOMPER,1 mg/ml,Suspension buvable,FL/200 ml,"6,535","2,560",DOMPERIDONE,ballouchi.github.io/medoc
VOMICALM,1 mg/ml,Suspension buvable,FL/200 ml + pipette,"6,955","2,560",DOMPERIDONE,ballouchi.github.io/medoc
MOTILIUM,1 mg/ml,Suspension buvable,FL/200 ml,"8,445","2,560",DOMPERIDONE,ballouchi.github.io/medoc
PERIDYS,1 mg/ml,Suspension buvable,FL/200 ml,"10,070","2,560",DOMPERIDONE,ballouchi.github.io/medoc
PERILIUM,1 mg/ml,Suspension buvable,FL/200 ml,"10,930","2,560",DOMPERIDONE,ballouchi.github.io/medoc
DUSPATALIN,200 mg,Gélules,B/16,"7,570","3,027",MEBEVERINE,ballouchi.github.io/medoc
PRIMPERAN,10 mg,Comprimés sécables,B/40,"5,230","2,080",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRAMIDYL 10,10 mg/2 ml,Solution injectable,B/4/2 ml,"1,980","0,792",METOCLOPRAMIDE,ballouchi.github.io/medoc
DOPERAN,10 mg/2 ml,Solution injectable,B/4/2 ml,"2,240","0,792",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRIMPERAN,10 mg,Solution injectable,B/4/2 ml,"2,695","0,792",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRAMIDYL,"0,10%",Solution buvable,FL/200 ml,"2,435","0,960",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRADIS,5 mg/5 ml,Solution buvable,FL/200 ml,"2,865","0,960",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRIMPERAN,"0,10%",Solution buvable,FL/200 ml,"4,635","0,960",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRADIS FORT ADULTES,"0,40%",Gouttes buvables,FL/30 ml,"2,230","0,888",METOCLOPRAMIDE,ballouchi.github.io/medoc
PRADIS,10 mg,Suppositoires,B/10,"2,160","0,864",METOCLOPRAMIDE,ballouchi.github.io/medoc
BUSCOPAN,10 mg,Comprimés enrobés,B/40,"7,220","2,000",N-BUTYLHYOSCINE BROMURE,ballouchi.github.io/medoc
BUSCOPAN,20 mg,Solution injectable,B/4/1 ml,"2,870","1,147",N-BUTYLHYOSCINE BROMURE,ballouchi.github.io/medoc
BUSCOPAN,10 mg,Suppositoires,B/5,"1,850","0,740",N-BUTYLHYOSCINE BROMURE,ballouchi.github.io/medoc
SPASTOP,40 mg,Comprimés pelliculés,B/10,"3,210","1,284",OTYLONIUM BROMURE,ballouchi.github.io/medoc
SPASTOP,40 mg,Comprimés pelliculés,B/30,"9,690","3,852",OTYLONIUM BROMURE,ballouchi.github.io/medoc
SPASMOMEN,40 mg,Comprimés enrobés,B/30,"14,210","3,852",OTYLONIUM BROMURE,ballouchi.github.io/medoc
PHLOROGLUCINOL WINTHROP,80 mg,Comprimés orodispersibles,B/10,"2,705","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPASMOLAX,80 mg,Comprimés orodispersibles,B/10,"2,705","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPACINOL,80 mg,Comprimés orodispersibles,B/10,"3,230","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
NOSPASM,80 mg,Comprimés orodispersibles,B/10,"3,330","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
PHLORO,80 mg,Comprimés orodispersibles,B/10,"3,495","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
ACTAFON SL,80 mg,Comprimés orodispersibles,B/10,"3,650","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
ANASPASM-ORO,80 mg,Comprimés orodispersibles,B/10,"3,800","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
ANTISPASM,80 mg,Comprimés orodispersibles,B/10,"4,990","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
PHLOROGLUCINOL,80 mg,Comprimés orodispersibles,B/10,"5,280","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
PERISPASM,80 mg,Comprimés orodispersibles,B/10,"5,965","0,984",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPASMOSTOP,80 mg,Comprimés orodispersibles,B/15,"5,450","1,476",PHLOROGLUCINOL,ballouchi.github.io/medoc
COLOCALM,80 mg,Comprimés orodispersibles,B/20,"4,935","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
ACTAFON,80 mg,Comprimés orodispersibles,B/20,"5,480","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
ANASPASM-ORO,80 mg,Comprimés orodispersibles,B/20,"5,860","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
NOSPASM,80 mg,Comprimés orodispersibles,B/20,"5,920","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPASCARE,80 mg,Comprimés orodispersibles,B/20,"6,240","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
ANTISPASM,80 mg,Comprimés orodispersibles,B/20,"6,415","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
NOVASFON,80 mg,Comprimés orodispersibles,B/20,"6,570","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPACINOL,80 mg,Comprimés orodispersibles,B/20,"7,175","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPASMOCALM,80 mg,Comprimés orodispersibles,B/20,"10,560","1,968",PHLOROGLUCINOL,ballouchi.github.io/medoc
PHLORO,80 mg,Comprimés orodispersibles,B/30,"7,470","2,952",PHLOROGLUCINOL,ballouchi.github.io/medoc
NOSPASM,80 mg,Comprimés orodispersibles,B/30,"7,975","2,952",PHLOROGLUCINOL,ballouchi.github.io/medoc
ANTISPASM,80 mg,Comprimés orodispersibles,B/30,"8,515","2,952",PHLOROGLUCINOL,ballouchi.github.io/medoc
PERISPASM,80 mg,Comprimés orodispersibles,B/30,"10,840","2,952",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPASCARE,160 mg,Comprimés orodispersibles,B/10,"6,290","1,932",PHLOROGLUCINOL,ballouchi.github.io/medoc
SPASMOSTOP,160 mg,Comprimés orodispersibles,B/10,"6,540","1,932",PHLOROGLUCINOL,ballouchi.github.io/medoc
NOSPASM,160 mg,Comprimés orodispersibles,B/12,"5,800","2,318",PHLOROGLUCINOL,ballouchi.github.io/medoc
PERISPASM,160 mg,Comprimés orodispersibles,B/12,"5,800","2,318",PHLOROGLUCINOL,ballouchi.github.io/medoc
ACTAFON,160 mg,Comprimés orodispersibles,B/12,"6,895","2,318",PHLOROGLUCINOL,ballouchi.github.io/medoc
NOVASFON,160 mg,Comprimés orodispersibles,B/12,"6,900","2,318",PHLOROGLUCINOL,ballouchi.github.io/medoc
COLOCALM,160 mg,Comprimés orodispersibles,B/15,"7,440","2,898",PHLOROGLUCINOL,ballouchi.github.io/medoc
METEOXANE,,Gélules,B/60,"6,914","2,760",PHLOROGLUCINOL + SIMETHICONE,ballouchi.github.io/medoc
SPASMED,,Solution injectable,B/6/4 ml,"7,970","3,187",PHLOROGLUCINOL+TRIMETHYLPHLOROGLUCINOL,ballouchi.github.io/medoc
DICETEL 100,100 mg,Comprimés pelliculés,B/20,"14,465","5,784",PINAVERIUM,ballouchi.github.io/medoc
RIABAL,30 mg,Comprimés pelliculés,B/20,"5,640","0,000",PRIFINIUM,ballouchi.github.io/medoc
RIABAL ENFANT,,Solution buvable,FL/50 ml,"5,215","2,080",PRIFINIUM,ballouchi.github.io/medoc
TRIMEGAM,100 mg,Comprimés,B/30,"4,430","1,764",TRIMEBUTINE,ballouchi.github.io/medoc
TRIMEDINE,100 mg,Gélules,B/30,"4,580","1,764",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRICOL,100 mg,Comprimés,B/30,"5,160","1,764",TRIMEBUTINE,ballouchi.github.io/medoc
COLOSPASMYL,100 mg,Comprimés pelliculés,B/30,"5,730","1,764",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRIDAT,100 mg,Comprimés pelliculés,B/30,"5,830","1,764",TRIMEBUTINE,ballouchi.github.io/medoc
COLOSPASMYL,200 mg,Comprimés sécables,B/15,"5,790","2,202",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRIDAT,200 mg,Comprimés pelliculés,B/15,"5,830","2,202",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRICOL,200 mg,Comprimés sécables,B/20,"7,345","2,936",TRIMEBUTINE,ballouchi.github.io/medoc
COLOSPASMYL,"74,4 mg",Granulés pour suspension buvable,B/30 Sachets,"8,470","3,384",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRICOL,"74,4 mg",Granulés pour suspension buvable,B/30 Sachets,"9,065","3,384",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRICOL,"4,8 mg/ml",Granulés pour suspension buvable,FL/100 ml,"2,080","0,600",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRIDAT,"4,8 mg/ml",Granulés pour suspension buvable,FL/125 ml + pipette doseuse,"2,215","0,750",TRIMEBUTINE,ballouchi.github.io/medoc
COLOSPASMYL,"4,8 mg/ml",Granulés pour suspension buvable,FL/250 ml,"3,985","1,500",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRIDAT,"4,8 mg/ml",Granulés pour suspension buvable,FL/250 ml,"3,995","1,500",TRIMEBUTINE,ballouchi.github.io/medoc
DEBRICOL,"4,8 mg/ml",Granulés pour suspension buvable,FL/250 ml,"5,875","1,500",TRIMEBUTINE,ballouchi.github.io/medoc
SAVEROL,,Soluté buccal,FL/125 ml,,"0,000",ACIDE SALICYLIQUE+MENTHOL+RESORCINE+VERATROL,ballouchi.github.io/medoc
SAVEROL,,Soluté buccal,FL/250 ml,,"0,000",ACIDE SALICYLIQUE+MENTHOL+RESORCINE+VERATROL,ballouchi.github.io/medoc
SAVEROL,,Soluté buccal,FL/400 ml,"5,810","0,000",ACIDE SALICYLIQUE+MENTHOL+RESORCINE+VERATROL,ballouchi.github.io/medoc
BENZYDEX,"0,15 %",Soluté buccal,FL/120 ml,"4,550","0,000",BENZYDAMINE,ballouchi.github.io/medoc
VERAX BLU,,Collutoire,FL/30 ml,,"0,000",BENZYDAMINE,ballouchi.github.io/medoc
VERAX BLU,,Soluté buccal,FL/120 ml,"3,900","0,000",BENZYDAMINE,ballouchi.github.io/medoc
VERAX ENFANT,25 mg,Suppositoires,B/10,"2,190","1,862",BENZYDAMINE,ballouchi.github.io/medoc
VERAX ADULTE,100 mg,Suppositoires,B/10,"2,950","2,508",BENZYDAMINE,ballouchi.github.io/medoc
SEPTEAL,"0,50%",Solution externe,FL/250 ml,"3,835","1,500",CHLORHEXIDINE,ballouchi.github.io/medoc
